id,Foundation,FirstFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,SalePrice
19,1,1339,3,0,4,1,3,0,1958.0,3,5,3,59,294,6,1,1339,52,70.0,139000
20,2,1158,2,1,0,3,0,154,2005.0,2,8,5,12,853,9,3,2376,11,101.0,325300
21,2,1108,2,1,0,1,3,0,1930.0,3,7,5,87,280,6,1,1108,67,57.0,139400
22,2,1795,2,1,0,2,2,159,2002.0,2,8,5,15,534,7,2,1795,15,75.0,230000
23,2,1060,3,1,4,1,2,110,1976.0,3,5,2,41,572,6,2,1060,41,44.0,129900
24,1,1060,2,1,0,1,3,90,1968.0,3,5,4,49,270,6,1,1060,16,70.04995836802665,154000
25,2,1600,2,1,0,2,2,56,2007.0,2,8,5,10,890,7,3,1600,10,110.0,256300
26,1,900,2,0,4,1,3,32,2005.0,3,5,1,66,576,5,2,900,17,60.0,134800
27,2,1704,2,1,0,2,0,50,2008.0,2,8,2,10,772,7,3,1704,9,98.0,306000
28,1,1600,3,2,4,1,3,258,1957.0,3,5,1,60,319,6,1,1600,20,47.0,207500
29,0,520,1,0,1,1,3,0,1920.0,3,4,5,90,240,4,1,520,67,60.0,68500
30,0,649,3,0,4,1,3,54,1920.0,3,4,5,97,250,6,1,1317,67,50.0,40000
31,1,1228,2,0,2,1,3,65,1966.0,3,5,5,51,271,6,1,1228,11,70.04995836802665,149350
32,2,1234,2,0,0,2,0,30,2007.0,2,8,5,10,484,7,2,1234,10,85.0,179900
33,1,1700,2,1,2,1,3,38,1959.0,3,5,4,58,447,6,2,1700,58,70.0,165500
34,2,1561,0,1,0,2,0,47,2005.0,0,9,2,12,556,6,2,1561,12,60.0,277500
35,2,1132,2,1,0,3,0,32,2004.0,2,8,5,13,691,9,3,2452,12,108.0,309000
36,2,1097,3,0,0,1,2,64,1995.0,3,5,5,23,672,6,2,1097,22,112.0,145000
37,1,1297,3,1,2,1,3,0,1954.0,3,5,4,63,498,5,2,1297,27,74.0,153000
38,1,1057,2,0,4,1,3,52,1953.0,3,5,2,64,246,5,1,1057,10,68.0,109000
39,2,1152,1,0,4,2,3,0,1978.5061638868744,3,4,5,62,0,6,0,1152,62,65.0,82000
40,1,1324,3,1,0,2,3,138,1965.0,3,6,4,52,440,6,2,1324,52,84.0,160000
41,1,1328,3,2,2,1,3,104,1959.0,3,5,1,58,308,5,1,1328,58,115.0,170000
42,1,884,2,0,2,1,2,0,1983.0,3,5,0,34,504,5,2,884,34,70.04995836802665,144000
43,1,938,3,0,4,1,2,0,1977.0,3,5,3,42,308,5,1,938,37,70.04995836802665,130250
44,1,1150,3,0,0,1,3,0,1959.0,3,5,0,58,300,6,1,1150,58,70.0,141000
45,2,1752,0,1,0,2,0,82,2005.0,0,9,2,12,576,6,2,1752,12,61.0,319900
46,2,1518,2,1,0,1,0,43,2003.0,2,7,2,14,670,6,2,2149,14,48.0,239686
47,2,1656,2,0,0,2,2,146,2006.0,2,8,2,11,826,7,3,1656,11,84.0,249700
48,0,736,3,0,2,2,3,0,1978.5061638868744,3,4,5,97,0,8,0,1452,9,33.0,113000
49,1,955,3,0,0,1,3,0,1966.0,3,5,1,51,386,6,1,955,51,66.0,127000
50,2,794,3,0,2,2,2,75,1997.0,3,6,2,20,388,6,2,1470,20,70.04995836802665,177000
51,2,816,3,1,4,1,3,0,1985.0,3,6,5,83,528,6,2,1176,67,52.0,114500
52,1,816,3,0,4,1,2,0,1963.0,1,5,3,54,516,5,2,816,54,110.0,110000
53,1,1842,2,1,2,0,0,72,1981.0,2,9,2,36,894,5,3,1842,30,68.0,385000
54,1,1360,3,1,4,1,3,50,1962.0,3,5,0,62,572,6,2,1360,62,60.0,130000
55,1,1425,3,1,2,2,3,0,1964.0,3,6,1,53,576,7,2,1425,53,100.0,180500
56,2,983,2,0,0,2,2,0,1999.0,2,8,2,18,480,7,2,1739,17,24.0,172500
57,2,860,2,0,0,2,2,70,2004.0,2,7,5,13,565,7,2,1720,13,89.0,196500
58,2,1426,2,1,0,3,0,0,2006.0,0,10,5,11,641,10,3,2945,11,66.0,438780
59,1,780,3,0,0,1,3,0,1973.0,3,5,0,45,352,4,1,780,45,60.0,124900
60,2,1158,2,0,0,1,2,50,2006.0,3,6,0,13,576,5,2,1158,13,63.0,158000
61,0,581,1,0,4,1,3,0,1935.0,3,5,5,97,288,6,1,1111,21,60.0,101000
62,2,1370,2,1,0,2,2,49,2006.0,2,8,2,11,484,6,2,1370,11,44.0,202500
63,0,902,3,0,2,2,3,11,1990.0,3,7,5,96,480,9,2,1710,67,50.0,140000
64,2,1057,2,0,0,2,2,36,1998.0,3,7,2,20,645,8,2,2034,19,70.04995836802665,219500
65,2,1143,2,1,0,2,0,151,2004.0,2,8,5,13,852,9,3,2473,12,76.0,317000
66,1,2207,3,1,4,2,2,0,1970.0,3,7,2,47,576,7,2,2207,28,70.04995836802665,180000
67,2,1479,2,0,0,2,2,29,2003.0,2,7,2,14,558,7,2,1479,14,72.0,226000
68,1,747,3,0,4,1,3,0,1945.0,3,4,5,72,220,4,1,747,67,47.0,80000
69,1,1304,3,1,4,2,3,21,1953.0,2,7,1,64,667,7,2,2287,64,81.0,225000
70,1,2223,3,2,0,2,2,0,1973.0,3,7,0,44,516,8,2,2223,44,95.0,244000
71,1,845,3,0,4,1,3,0,1987.0,3,4,0,35,360,4,2,845,11,69.0,129500
72,2,885,3,1,2,2,2,94,1998.0,3,7,5,19,427,7,2,1718,19,74.0,185000
73,1,1086,3,0,2,1,3,0,1989.0,3,5,0,63,490,6,2,1086,14,85.0,144900
74,1,840,3,0,2,2,1,0,1915.0,2,3,5,102,379,8,1,1605,67,60.0,107400
75,1,526,3,0,4,1,2,101,1973.0,3,4,2,44,297,5,1,988,44,21.0,91000
76,1,952,3,0,0,1,3,0,1956.0,3,4,0,61,283,4,1,952,61,70.04995836802665,135750
77,1,1072,3,0,4,1,3,0,1948.0,3,5,1,69,240,6,1,1285,16,50.0,127000
78,1,1768,3,0,4,2,3,0,1978.5061638868744,3,4,5,49,0,8,0,1768,49,72.0,136500
79,2,682,3,0,2,1,3,0,1966.0,3,5,5,107,440,5,2,1230,36,60.0,110000
80,1,1182,2,1,4,2,2,72,1968.0,3,6,4,49,509,8,1,2142,49,100.0,193500
81,2,1337,3,0,0,2,0,199,1998.0,3,6,2,19,405,5,2,1337,19,32.0,153500
82,2,1563,2,1,0,2,2,99,2007.0,3,8,2,10,758,6,3,1563,10,78.0,245000
83,1,1065,3,0,2,1,3,0,1974.0,3,5,5,57,461,6,2,1065,57,80.0,126500
84,2,804,3,1,2,2,2,72,1995.0,3,7,5,22,400,7,2,1474,21,70.04995836802665,168500
85,1,1301,2,1,0,2,2,82,1991.0,2,8,5,26,462,9,2,2417,25,121.0,260000
86,2,684,2,1,0,2,2,38,2005.0,2,6,5,12,400,6,2,1560,12,122.0,174000
87,2,612,2,0,0,2,2,234,2009.0,2,6,5,8,528,4,2,1224,8,40.0,164500
88,1,1013,1,0,4,1,3,0,1978.5061638868744,1,3,5,102,0,6,0,1526,35,105.0,85000
89,2,990,3,0,0,1,2,0,1978.5061638868744,3,4,2,23,0,5,0,990,22,60.0,123600
90,3,1040,3,0,4,1,3,29,1950.0,3,4,5,67,420,4,2,1040,67,60.0,109900
91,1,1235,3,0,4,1,3,0,1961.0,3,5,4,56,480,6,2,1235,56,85.0,98600
92,0,964,3,0,0,1,2,0,1921.0,3,5,0,96,432,5,2,964,11,80.0,163500
93,0,1260,3,1,0,2,3,0,1900.0,3,6,4,107,506,9,2,2291,19,60.0,133900
94,2,905,2,0,0,2,2,162,1997.0,3,6,2,20,684,7,2,1786,20,69.0,204750
95,2,680,3,1,2,2,2,63,1993.0,0,6,0,24,420,6,2,1470,24,70.04995836802665,185000
96,2,1588,2,0,0,2,2,29,1999.0,2,7,0,18,472,6,2,1588,18,78.0,214000
97,1,960,3,0,4,1,3,0,1965.0,3,4,4,52,432,6,1,960,52,73.0,94750
98,0,835,3,0,1,1,3,0,1920.0,3,5,0,97,366,5,1,835,67,85.0,83000
99,1,1225,3,0,1,1,3,0,1978.5061638868744,3,4,0,58,0,6,0,1225,58,77.0,128950
100,2,1610,2,2,2,2,3,68,1977.0,3,6,0,40,480,6,2,1610,16,70.04995836802665,205000
101,1,977,2,1,4,2,2,46,1985.0,2,6,5,32,476,7,2,1732,32,77.0,178000
102,3,1535,3,0,4,2,3,0,1979.0,3,5,5,38,410,8,2,1535,38,64.0,118964
103,2,1226,2,0,0,2,2,36,2009.0,3,7,5,8,740,6,3,1226,8,94.0,198900
104,2,1226,3,2,0,1,3,0,1951.0,3,7,3,86,240,7,1,1818,67,70.04995836802665,169500
105,2,1053,2,1,0,2,0,45,2003.0,2,8,5,14,648,9,2,1992,13,75.0,250000
106,0,1047,3,0,2,1,1,0,1954.0,3,4,5,132,273,6,1,1047,22,60.0,100000
107,1,789,3,0,0,1,3,0,1948.0,3,5,0,69,250,5,1,789,67,50.0,115000
108,1,997,1,0,4,2,3,0,1978.5061638868744,3,5,5,98,0,7,0,1517,12,85.0,115000
109,1,1844,3,1,0,2,2,122,1977.0,3,6,1,40,546,7,2,1844,40,105.0,190000
110,1,1216,3,0,2,2,3,0,1954.0,3,6,4,63,325,7,1,1855,45,75.0,136900
111,2,774,3,1,0,2,2,0,2000.0,3,7,2,17,400,7,2,1430,17,70.04995836802665,180000
112,2,1282,0,1,0,2,0,184,2007.0,2,7,2,10,792,10,3,2696,10,77.0,383970
113,1,2259,2,2,4,2,2,120,1953.0,3,6,0,64,450,7,2,2259,64,70.04995836802665,217000
114,1,1436,2,1,0,2,3,0,1945.0,3,6,0,72,180,9,1,2320,15,61.0,259500
115,2,729,3,1,2,2,2,32,1999.0,3,6,2,18,440,5,2,1458,18,34.0,176000
116,1,1092,3,1,4,1,3,20,1962.0,3,5,3,55,288,6,1,1092,55,70.04995836802665,139000
117,2,1125,3,0,2,1,2,64,2007.0,3,5,5,11,430,5,2,1125,10,74.0,155000
118,2,1699,2,2,2,3,2,0,1990.0,3,7,2,27,594,11,3,3222,27,90.0,320000
119,2,728,2,1,0,2,2,24,2005.0,2,6,5,12,390,8,2,1456,11,65.0,163990
120,1,988,3,2,0,1,3,130,1969.0,3,6,0,48,540,4,2,988,48,70.04995836802665,180000
121,2,772,3,0,2,1,3,0,1979.0,3,4,5,78,264,4,1,1123,67,50.0,100000
122,1,1080,3,0,2,1,3,0,1958.0,3,6,1,59,288,5,1,1080,59,75.0,136000
123,2,1199,2,0,0,2,2,63,1993.0,2,6,2,24,530,5,2,1199,24,55.0,153900
124,1,1586,3,1,4,2,2,0,1979.0,3,6,5,38,435,7,2,1586,19,48.0,181000
125,1,520,3,0,2,1,3,0,1978.5061638868744,3,6,2,82,0,5,0,754,35,60.0,84500
126,1,958,3,1,4,2,2,205,1977.0,3,6,0,41,440,5,2,958,41,70.04995836802665,128000
127,0,840,3,1,0,1,3,0,1978.5061638868744,3,5,3,87,0,5,0,840,67,55.0,87000
128,1,660,3,1,4,1,3,108,1966.0,3,6,1,51,453,6,2,1348,51,69.0,155000
129,1,1053,0,0,4,1,3,80,1998.0,3,5,4,59,750,6,2,1053,26,69.0,150000
130,1,1216,2,2,0,2,3,66,1966.0,3,7,4,51,487,8,2,2157,51,88.0,226000
131,2,1022,2,1,0,2,2,48,2000.0,2,6,2,17,390,7,2,2054,17,70.04995836802665,244000
132,1,1327,2,0,2,1,3,0,1974.0,3,5,4,58,624,7,2,1327,15,75.0,150750
133,2,1296,2,0,0,2,0,25,2001.0,2,8,2,16,471,6,2,1296,15,70.04995836802665,220000
134,1,1721,3,1,2,2,3,96,1968.0,3,5,4,49,440,7,2,1721,24,78.0,180000
135,2,1682,3,1,2,2,3,0,1970.0,3,7,5,47,530,7,2,1682,47,80.0,174000
136,1,1214,3,1,4,2,3,111,1967.0,3,5,1,50,318,5,1,1214,50,70.04995836802665,143000
137,1,1959,3,0,2,3,3,0,1989.0,3,7,5,29,766,9,3,1959,28,82.0,171000
138,2,1004,2,2,0,2,2,106,1999.0,2,8,2,18,660,7,3,1852,17,73.0,230000
139,2,928,2,0,0,2,2,99,1997.0,3,6,2,20,470,7,2,1764,20,65.0,231500
140,1,864,3,1,4,1,3,0,1978.5061638868744,3,4,0,46,0,5,0,864,46,70.0,115000
141,2,1734,2,0,0,2,2,24,2005.0,2,7,2,12,660,7,2,1734,12,78.0,260000
142,1,910,3,0,1,2,3,0,2000.0,3,5,4,65,720,6,2,1385,65,71.0,166000
143,2,1501,2,0,0,2,2,29,1999.0,2,7,2,18,577,6,2,1501,18,78.0,204000
144,1,1728,3,0,4,2,3,0,1963.0,3,5,4,54,504,10,2,1728,54,70.0,125000
145,2,970,2,0,0,2,2,40,2004.0,2,6,5,13,380,7,2,1709,11,24.0,130000
146,0,875,3,0,4,1,3,0,1931.0,3,5,1,86,180,5,1,875,24,51.0,105000
147,2,884,2,1,0,2,2,48,2001.0,2,7,5,16,434,8,2,2035,16,70.04995836802665,222500
148,2,1080,2,0,0,1,2,0,1978.5061638868744,3,7,2,13,0,6,0,1080,12,63.0,141000
149,0,896,3,0,2,1,2,114,1936.0,3,5,5,81,240,7,1,1344,67,70.04995836802665,115000
150,1,969,3,0,4,1,3,0,1975.0,3,5,1,42,440,5,2,969,42,120.0,122000
151,2,1710,2,1,0,2,0,102,2007.0,2,8,2,10,866,6,3,1710,9,107.0,372402
152,1,1097,3,1,2,2,3,66,1971.0,3,6,4,46,495,8,2,1993,46,70.04995836802665,190000
153,1,1252,3,1,2,1,2,0,1960.0,3,6,1,57,564,4,2,1252,42,70.04995836802665,235000
154,0,1200,3,0,4,1,3,0,1923.0,3,6,5,94,312,7,1,1200,67,84.0,125000
155,0,572,3,0,1,1,3,8,1978.5061638868744,3,6,5,93,0,5,0,1096,67,60.0,79000
156,1,1040,3,0,4,1,3,0,1950.0,3,5,5,67,625,5,2,1040,67,60.0,109500
157,2,774,0,1,0,2,0,75,2009.0,2,8,5,8,680,8,3,1968,7,92.0,269500
158,2,991,2,1,0,2,2,136,2004.0,2,7,2,13,678,8,2,1947,12,100.0,254900
159,2,1392,2,1,0,2,2,132,2006.0,2,7,2,12,576,9,2,2462,11,134.0,320000
160,2,1232,3,0,4,2,2,0,1984.0,3,6,1,33,516,6,2,1232,33,70.04995836802665,162500
161,2,1572,0,2,0,2,0,0,2003.0,2,9,2,14,726,10,3,2668,13,110.0,412500
162,2,1541,2,1,0,2,2,70,2005.0,2,7,1,12,532,7,2,1541,12,95.0,220000
163,1,882,3,0,0,1,3,0,1978.5061638868744,3,4,5,61,0,4,0,882,61,55.0,103200
164,0,1149,2,0,2,2,3,0,1926.0,3,6,3,91,216,5,1,1616,13,40.0,152000
165,0,808,3,0,2,2,3,0,1978.5061638868744,3,5,0,77,0,6,0,1355,18,62.0,127500
166,1,1867,3,3,0,1,3,0,1955.0,2,5,3,62,303,7,1,1867,24,70.04995836802665,190000
167,2,1610,0,1,0,1,0,120,2007.0,2,8,2,10,789,8,3,2161,10,86.0,325624
168,2,840,2,1,0,2,2,48,2004.0,2,7,5,13,440,7,2,1720,13,62.0,183500
169,1,1707,3,1,4,2,2,64,1981.0,2,8,5,36,511,6,2,1707,36,70.04995836802665,228000
170,1,854,3,0,4,1,3,0,1991.0,3,5,4,76,660,7,2,1382,67,70.04995836802665,128500
171,1,1656,3,2,1,1,3,62,1960.0,3,6,1,57,528,7,2,1656,57,141.0,215000
172,2,1064,2,1,2,2,2,35,1987.0,2,7,2,30,504,5,2,1767,30,44.0,239000
173,1,1362,3,1,4,1,3,20,1961.0,3,6,0,56,504,6,2,1362,56,80.0,163000
174,1,1651,3,1,4,2,2,0,1986.0,3,6,0,31,616,7,2,1651,31,47.0,184000
175,1,2158,2,1,4,2,3,29,1950.0,3,6,0,67,576,7,2,2158,16,84.0,243000
176,2,1164,3,1,4,2,2,228,1988.0,2,6,2,29,521,8,2,2060,28,97.0,211000
177,1,1252,2,1,0,2,3,0,1958.0,2,5,0,59,451,8,2,1920,59,70.04995836802665,172500
178,2,2234,0,1,0,2,0,60,2009.0,0,9,2,9,1166,9,3,2234,8,63.0,501837
179,1,968,3,0,4,1,3,0,1935.0,2,5,5,94,480,5,2,968,11,60.0,100000
180,2,769,2,1,0,2,2,0,2000.0,2,6,2,17,440,5,2,1525,17,70.04995836802665,177000
181,0,901,3,1,2,1,1,0,1920.0,3,7,3,97,216,9,1,1802,67,54.0,200100
182,2,1340,3,1,0,1,3,0,1957.0,3,5,5,60,252,7,1,1340,11,60.0,120000
183,2,1362,2,0,0,2,2,238,2003.0,3,7,5,14,484,6,2,2082,14,63.0,200000
184,2,936,3,0,2,1,1,0,1986.0,3,5,5,109,576,5,2,1252,26,92.0,127000
185,0,1518,0,2,0,2,3,260,1993.0,2,10,5,125,840,12,3,3608,24,90.0,475000
186,2,1217,2,0,0,2,2,27,1990.0,3,7,2,27,497,6,2,1217,26,70.04995836802665,173000
187,1,808,3,0,0,2,1,0,1916.0,3,5,5,101,180,8,1,1656,30,60.0,135000
188,1,1224,3,2,4,0,2,0,1979.0,3,5,2,38,528,6,2,1224,38,64.0,153337
189,2,1593,0,1,0,1,0,120,2001.0,2,8,2,16,682,5,2,1593,15,41.0,286000
190,1,1549,2,2,4,2,2,74,1932.0,2,8,4,85,440,10,2,2727,23,70.0,315000
191,1,725,2,0,2,1,3,32,1972.0,3,7,0,45,484,7,2,1479,13,70.04995836802665,184000
192,2,1431,2,0,0,2,2,35,1999.0,2,7,2,18,666,6,2,1431,18,68.0,192000
193,2,970,2,0,0,2,2,40,2004.0,2,7,5,13,380,7,2,1709,13,24.0,130000
194,1,864,3,0,4,1,3,0,1989.0,3,5,0,45,352,5,1,864,45,60.0,127000
195,1,855,3,1,4,2,2,0,1976.0,3,6,0,41,440,7,2,1456,41,24.0,148500
196,2,1726,0,1,0,2,0,138,2007.0,0,7,2,10,786,8,3,1726,10,79.0,311872
197,2,1360,2,1,2,2,3,16,1918.0,2,8,2,99,795,8,2,3112,27,174.0,235000
198,1,929,3,0,0,1,3,198,1978.5061638868744,3,6,5,105,0,8,0,2229,67,92.0,104000
199,2,1713,0,1,0,2,0,26,2004.0,2,8,2,13,856,7,3,1713,12,76.0,274900
200,2,1121,3,0,0,2,2,64,2003.0,3,4,5,14,440,5,2,1121,13,80.0,140000
201,1,1279,3,2,4,2,3,83,1980.0,3,6,0,40,473,6,2,1279,40,75.0,171500
202,0,865,3,0,2,2,1,0,1924.0,3,6,3,93,398,6,1,1310,67,50.0,112000
203,2,848,2,1,0,1,2,0,2004.0,2,6,2,13,420,3,2,848,13,70.04995836802665,149000
204,1,720,3,0,4,1,3,35,1948.0,3,5,3,70,240,5,1,1284,67,50.0,110000
205,2,1442,3,0,0,2,2,34,1990.0,3,7,5,27,500,5,2,1442,27,99.0,180500
206,1,1696,3,1,4,1,3,30,1962.0,3,5,5,55,349,8,1,1696,55,40.0,143900
207,2,1100,3,1,4,1,3,0,1960.0,3,4,0,57,312,6,1,1100,57,70.04995836802665,141000
208,1,1180,3,1,0,2,2,55,1988.0,2,7,2,29,454,7,2,2062,28,70.04995836802665,277000
209,1,1092,3,0,0,1,2,0,1964.0,3,6,4,53,504,6,2,1092,53,75.0,145000
210,1,864,3,0,4,1,3,0,1978.5061638868744,3,5,4,92,0,5,0,864,67,67.0,98000
211,2,1212,2,0,0,2,2,22,2009.0,3,6,2,8,460,6,2,1212,8,83.0,186000
212,2,932,2,1,0,2,2,108,2009.0,3,7,2,8,644,7,2,1852,8,72.0,252678
213,2,990,3,0,0,1,2,0,1996.0,3,5,0,22,576,5,2,990,22,43.0,156000
214,1,689,3,0,0,1,2,36,1977.0,3,6,2,40,299,6,1,1392,40,70.04995836802665,161750
215,1,1236,2,1,4,1,3,0,1957.0,3,5,1,60,447,6,1,1236,21,72.0,134450
216,2,1436,2,0,0,2,2,98,2004.0,2,7,2,13,484,8,2,1436,13,65.0,210000
217,1,810,3,0,1,1,3,172,1940.0,3,4,5,92,210,8,1,1328,67,57.0,107000
218,1,1137,2,2,0,1,3,119,1939.0,2,7,1,78,431,8,2,1954,11,70.04995836802665,311500
219,2,1248,2,0,0,2,2,0,2005.0,2,7,2,12,438,5,2,1248,11,43.0,167240
220,2,1498,2,0,0,2,2,33,2006.0,2,7,5,11,675,5,2,1498,11,73.0,204900
221,2,1010,2,1,0,2,2,46,2002.0,2,6,5,15,390,8,2,2267,15,70.04995836802665,200000
222,1,811,3,1,4,2,2,208,1975.0,3,6,0,42,434,6,2,1552,42,85.0,179900
223,1,864,3,0,2,1,3,0,1989.0,3,4,0,46,576,4,2,864,46,70.0,97000
224,2,2392,0,1,0,2,0,105,2003.0,0,10,2,14,968,8,3,2392,14,103.0,386250
225,1,630,3,0,4,2,3,0,1991.0,3,5,5,46,280,6,1,1302,46,21.0,112000
226,2,1214,2,1,0,2,2,114,1995.0,2,7,2,22,721,9,3,2520,22,82.0,290000
227,1,483,3,0,4,1,3,0,1987.0,3,6,4,47,280,5,1,987,47,21.0,106000
228,1,912,3,1,4,1,3,0,1974.0,3,5,0,50,336,5,1,912,50,70.0,125000
229,2,1555,2,1,0,2,2,20,2005.0,2,7,2,12,430,7,2,1555,11,43.0,192500
230,1,1194,3,0,4,1,3,0,1959.0,3,6,5,58,312,6,1,1194,58,73.0,148000
231,2,1490,0,1,0,2,2,146,1995.0,2,8,2,22,810,9,3,2794,21,174.0,403000
232,1,483,3,1,4,1,3,0,1972.0,3,6,5,45,288,5,1,987,45,21.0,94500
233,1,894,3,0,4,1,3,0,1976.0,3,5,3,41,308,5,1,894,41,75.0,128200
234,2,860,2,2,0,2,2,48,2002.0,2,6,2,15,440,8,2,1960,15,70.04995836802665,216500
235,1,483,3,0,4,1,3,0,1971.0,3,6,0,46,264,5,1,987,46,21.0,89500
236,2,1414,2,0,0,2,2,105,2004.0,2,7,2,13,494,6,2,1414,13,65.0,185500
237,2,1014,2,0,0,2,2,70,1993.0,2,7,1,24,457,7,2,1744,14,70.04995836802665,194500
238,2,1694,2,0,0,2,0,228,2007.0,0,8,5,10,818,7,3,1694,10,93.0,318000
239,1,798,3,1,4,1,3,140,1949.0,3,6,3,72,220,7,1,1487,67,52.0,113000
240,2,1566,2,0,0,2,2,168,2008.0,2,8,2,9,750,7,2,1566,9,75.0,262500
241,1,866,2,0,2,1,3,42,1978.5061638868744,3,5,0,72,0,4,0,866,20,40.0,110500
242,0,889,3,0,2,1,3,0,1940.0,3,5,5,117,352,6,1,1440,67,63.0,79000
243,1,626,3,1,4,1,2,28,1980.0,3,6,5,37,288,6,1,1217,37,75.0,120000
244,2,1222,2,2,0,2,2,130,1994.0,2,7,2,23,463,8,2,2110,15,70.04995836802665,205000
245,1,1872,3,1,2,2,2,39,1988.0,3,7,2,29,604,6,2,1872,29,80.0,241500
246,4,908,1,0,2,2,1,60,1910.0,3,6,5,107,440,9,1,1928,67,69.0,137000
247,1,1375,3,1,0,1,3,30,1954.0,3,6,5,63,451,5,2,1375,63,75.0,140000
248,2,840,2,0,0,2,2,68,2003.0,2,7,5,14,500,8,2,1668,14,72.0,180000
249,1,1444,2,2,2,2,2,98,1958.0,2,6,4,59,389,7,2,2144,11,70.04995836802665,277000
250,1,1306,1,0,0,1,3,0,1978.5061638868744,3,3,5,77,0,6,0,1306,51,55.0,76500
251,2,1625,2,1,0,2,2,0,2006.0,2,8,2,11,538,5,2,1625,10,44.0,235000
252,2,798,2,0,0,2,2,45,2004.0,2,6,5,13,520,6,2,1640,13,65.0,173000
253,1,1302,2,0,0,2,2,0,1964.0,3,6,3,53,309,7,1,1302,26,85.0,158000
254,1,1314,3,0,4,1,3,0,1957.0,3,5,4,60,294,5,1,1314,60,70.0,145000
255,2,1005,2,1,0,2,2,0,1999.0,2,7,5,18,429,8,2,2291,18,66.0,230000
256,2,864,2,0,0,2,2,56,2003.0,2,6,4,14,673,7,2,1728,14,64.0,207500
257,2,1604,2,1,0,2,2,110,2006.0,2,7,2,11,660,8,2,1604,11,68.0,220000
258,2,963,2,1,0,2,2,96,2001.0,2,7,2,16,564,7,2,1792,16,80.0,231500
259,2,882,3,0,2,1,3,45,1956.0,3,5,5,61,308,4,1,882,61,70.0,97000
260,1,1382,3,1,4,1,3,0,1991.0,3,6,4,55,884,6,2,1382,55,120.0,176000
261,2,1482,0,1,0,2,0,148,2007.0,2,8,5,10,868,10,3,2574,10,69.0,276000
262,1,1212,3,1,4,1,2,12,1978.0,3,6,0,40,492,6,2,1212,22,88.0,151000
263,0,926,3,0,4,1,3,0,1974.0,3,5,3,88,484,6,2,1316,16,50.0,130000
264,0,764,3,0,2,1,1,0,1965.0,3,5,5,92,504,4,2,764,13,30.0,73000
265,1,1422,2,1,4,2,2,0,1981.0,3,6,2,36,576,7,2,1422,36,78.0,175500
266,2,802,3,1,2,2,2,75,1997.0,3,6,2,20,413,8,2,1511,20,70.0,185000
267,2,1052,2,1,0,2,3,24,1939.0,3,5,3,78,240,8,1,2192,20,60.0,179500
268,1,778,3,1,0,1,3,25,1966.0,3,5,0,77,924,4,1,778,62,71.0,120500
269,1,1113,3,1,4,1,3,30,1987.0,3,6,1,41,504,6,1,1113,41,70.04995836802665,148000
270,2,1095,2,1,2,2,2,51,2006.0,2,8,5,11,1053,8,3,1939,11,84.0,266000
